,0,1,2,3,4
119,2188,39425,73931,60920,52104
120,78796,67669,16991,53601,4854
121,61603,15135,37475,71108,99986
122,37307,6051,51192,70234,45331
123,80904,47170,38744,65513,20728
124,67360,83503,96594,20168,58145
125,42215,80159,34171,30910,52891
126,71965,66623,70213,196,39481
127,60958,78136,7078,98668,56386
128,68804,40532,19903,98314,89724
129,12108,31627,7794,12835,69175
130,3573,42522,87479,56799,16112
131,11342,68287,43233,58209,83353
132,31085,69802,6802,14323,49567
133,35859,44615,58368,25186,12748
134,14307,88998,42522,7225,58451
135,15634,43853,1956,87279,6866
136,7843,37104,95057,13476,94940
137,31633,75298,34820,15410,73419
138,38918,57459,87713,37397,89780
139,47586,15957,28381,6063,66891
140,87336,49574,35249,53718,11869
141,69175,77566,24007,54919,4247
142,72165,25503,90583,92779,65741
143,1209,43847,84771,28846,41370
144,57042,52498,85098,7862,98936
145,64208,91512,41025,55626,46723
146,42175,63402,16527,27738,50712
147,8840,24860,6267,45175,12426
148,89180,59877,15041,7765,97914
149,72730,85911,41199,46065,65948
150,80039,34964,38835,89664,77152
18810,151,15873,86659,42130,9656
152,30033,50666,23953,52891,80604
153,81994,88144,16287,65191,77100
154,40373,44590,10956,59362,45350
155,92501,69232,16366,95404,20964
156,9049,25548,77293,11380,50985
157,93541,82634,19363,19176,97741
158,14361,64338,118,1836,90115
159,4391,26824,12538,15559,14969
160,97335,31696,60681,58205,75271
161,51078,52957,45723,19941,53840
162,736,74485,2124,1209,48482
163,95764,97015,7493,33907,88190
164,66923,94110,54836,52483,75930
165,53196,34604,65309,73891,45323
166,53477,45149,1209,43847,84771
167,93082,85913,77828,15958,37221
168,98154,58031,66054,99119,37128
169,32397,44675,17417,86467,16912
170,46235,4814,62511,45501,61550
171,60340,92101,53053,51198,9475
172,44377,64020,61941,50433,68148
173,90319,64816,13657,76993,97157
174,50138,21755,34272,33759,36174
175,73004,41150,85093,78852,74388
176,95538,92565,12127,68474,81816
177,9787,12772,80546,43905,15571
178,18491,43658,7174,84749,97008
179,85879,55100,59580,45571,4538
180,38359,90788,84657,44388,41754
181,47510,31854,16681,94991,82574
50621,182,0,66663,66671,66670
183,51974,38874,14442,88657,50441
184,31156,55997,8678,16849,99506
185,56980,31820,66358,78778,51203
186,75379,84430,11483,34213,14060
187,22870,62425,39910,34015,52238
188,37501,46552,89074,57685,67570
55349,189,43593,6880,18585,35702
190,12589,46242,38552,29072,21685
191,32979,44520,36645,94210,67432
192,39409,230,73285,87081,64352
193,46045,71398,20734,55213,22622
194,28344,79518,12430,62734,31932
195,34205,56323,78866,16138,39555
196,71965,66623,90971,35311,26537
197,42694,37817,53268,77369,45190
198,32,1791,92569,62254,22998
199,43508,49373,82684,18907,50054
200,4082,70149,53829,74584,64216
201,83955,43704,75683,34624,16851
202,58875,98587,84464,88691,35598
203,36304,48227,74494,74253,93619
204,68755,66240,2061,28499,83940
205,83886,8663,17016,57029,89854
206,6493,32538,50454,26160,26161
207,94288,46794,33458,19336,59657
208,66298,5060,42639,78220,94602
209,9567,59501,29452,32041,80132
210,73730,41370,28899,82246,54071
211,57072,47419,33759,44185,76438
212,74953,37212,82474,23433,59822
213,401,99473,20442,98149,74197
214,16053,69151,1590,62274,91980
215,19012,48650,88076,56225,97312
216,76852,34339,75346,68306,8872
217,43853,95573,84327,5452,22492
218,51776,97979,56039,87154,15169
219,39747,14228,8936,97357,11207
220,91299,78036,84002,15065,69112
221,39063,61493,13452,40487,61031
222,23551,47002,18947,42619,50157
223,48033,96610,69450,13212,52440
224,23165,31541,45242,5592,10309
225,84467,93349,74973,25626,96807
226,43784,1888,86806,39894,37495
227,25503,88223,97766,9743,50902
228,44512,53346,78182,42522,11661
229,4783,2363,91299,12140,78036
230,47758,39409,24361,192,67428
231,28073,33759,91508,24860,81309
232,10196,70328,17074,23281,50100
233,56384,88939,69877,97200,21578
234,9255,52219,59890,68854,10179
235,51529,56494,942,73663,2246
236,255,62878,7398,95426,58065
58373,237,238,70674,29415,44211
239,76111,85568,84014,3465,88737
240,24860,91241,8840,28956,10510
241,16796,23316,75578,17010,84751
242,25108,94688,52164,14569,15382
243,8732,99826,31516,47659,24033
244,51008,49790,81171,78913,71490
245,2270,15084,9662,67944,41691
246,29504,36585,1161,50484,76636
247,68663,8170,52220,90489,49800
248,23871,42433,87696,38390,97563
249,54824,95241,37101,76922,82860
250,72598,61010,70869,37147,86556
251,78987,15278,92778,65157,96160
252,91917,4296,7157,43053,49012
253,85824,63246,450,81786,72358
254,45322,45757,30545,21981,84906
255,65169,33973,1871,58337,46783
256,51368,68824,33460,84404,51884
257,66652,66673,66672,66671,66670
258,90821,47793,49900,2633,35578
259,64497,90498,77689,25821,24173
260,75633,86213,51064,16719,98544
261,51067,8943,11342,38822,39178
262,90775,28205,98360,74069,15092
263,26672,6866,93805,89348,28628
264,46692,76278,63302,8571,55530
265,48745,66165,36477,74204,43151
266,15006,9117,1506,28988,22618
267,82354,69110,2417,57523,34598
268,43055,34925,50888,13220,50370
269,81449,70896,19827,61247,60937
270,86777,83786,19883,58108,62729
271,6538,19851,51823,13121,5785
272,3808,42809,85045,18203,54040
273,54442,82255,61064,47367,18436
274,93817,31037,9742,26641,68142
275,66148,65402,47928,74370,82245
276,87370,80654,2836,32943,63509
277,11651,44185,62420,97843,78844
278,23079,56275,79871,32088,89206
279,52387,8333,90788,46624,51770
280,39011,20513,36870,15642,87943
281,97887,58853,14190,55471,39615
282,66717,88093,5355,91963,4055
283,73686,47678,69545,49958,80843
284,61427,98035,27574,81124,19224
285,87599,86277,33452,10974,14743
286,34828,10537,2562,894,55988
287,24023,50775,88359,97497,53440
288,25548,60937,13502,29415,64729
289,59446,78317,70882,95045,9076
290,23477,61769,56385,81610,42363
291,97213,64349,71258,56578,78694
292,74202,65704,94124,20514,63840
293,45723,98653,38364,62558,2294
294,25237,70828,56844,80827,82341
295,20190,49503,59501,24314,8808
296,59755,96205,63535,62560,92178
297,87355,56418,2221,52815,75313
298,13255,34993,54431,78458,1482
299,89653,19569,54752,61447,18969
300,86921,95423,21333,30450,26024
301,4847,75891,30047,69939,22907
302,36752,58062,17406,25628,53383
303,35721,22631,89805,86451,28606
304,83470,89539,14307,35939,13137
305,47831,15703,85647,75228,46938
306,66365,22915,6977,21732,83631
307,81965,41958,4777,8404,96488
308,6644,31675,33951,86427,90503
309,17477,17973,34604,60962,40690
310,84632,42306,71953,69734,96230
311,50785,76981,48457,76441,52736
312,2188,79771,18557,37136,39629
313,72868,27840,65279,70996,46517
314,41534,40430,98314,89724,92018
315,34974,78154,72753,789,42585
316,1045,67072,2347,2801,26044
317,76176,294,15579,95702,28073
318,11229,9662,85266,32400,88561
319,80075,97059,68297,60219,40383
320,99261,22357,21173,35061,26101
321,3775,74419,94485,42397,36894
322,47367,61064,8453,84873,86370
323,92501,27995,3543,12560,49543
324,85755,13915,91443,94690,4997
325,11704,70424,10076,77192,74735
326,22585,14200,91208,43812,46211
327,63714,85264,7855,99056,62740
328,64542,12827,89828,46167,94597
329,36993,39572,38572,0,66665
330,72970,15331,44919,69744,47223
331,35256,18401,93190,42432,44134
332,39778,9366,48338,88350,40686
333,94768,45822,72192,20009,98952
334,71866,11603,33612,45103,86038
335,21891,81231,98113,15807,73167
336,74000,80464,15709,82227,87316
337,78965,83458,13768,62089,60099
338,47922,52237,86971,729,71152
339,57743,56029,9052,74604,97480
340,66412,49264,6547,99369,46503
341,25822,24721,3019,46441,98719
342,81172,76770,49480,90802,90718
343,31791,96124,7921,82431,77971
344,65300,8714,60008,11283,75775
345,40030,16813,49004,10678,4393
346,41654,12392,55703,67158,34375
347,12908,86060,62452,41247,72463
348,49611,74944,39585,58467,94368
349,72264,37603,97505,42939,34027
350,28104,19883,19096,4767,44681
351,49609,80176,98315,11606,91690
352,5211,27797,68297,16991,79755
353,2188,84449,45919,54322,70281
354,8203,87422,50700,41949,72879
355,70059,70213,25675,57989,56287
356,25965,56758,79584,40140,76523
357,85919,79524,87594,92246,18814
358,35772,90872,49064,31831,73282
359,30006,97494,18704,28673,38683
360,81345,39040,58858,62115,5003
361,10927,30330,34923,54654,71088
362,71914,10771,80843,40140,4242
363,81547,54193,53828,45732,29637
364,15341,19725,70418,32662,49278
365,36306,88953,35821,5263,76523
366,31893,5478,76872,50208,3926
367,96931,6378,73741,98085,31199
368,75558,40160,61962,21517,41068
369,73151,90606,78550,30009,99609
370,1209,43847,84771,41370,43291
371,49464,1408,21703,19005,23353
372,43705,88361,85985,80281,85824
373,62613,3077,23342,59086,73613
374,81701,36863,62547,54289,21736
375,6065,31052,77361,50147,24767
376,1256,2907,77216,65159,38578
377,31690,48744,94638,77978,91662
378,44477,45532,68224,379,251
379,44477,378,96580,68758,16899
380,60932,4867,88377,74005,64374
381,14508,50023,44282,830,43403
382,81654,82206,38947,15816,37214
383,28541,21271,12662,10573,45896
384,58561,26251,42092,86004,70026
385,29308,77805,30840,28722,58865
386,19867,38897,16800,26022,71319
387,8090,89041,22725,41427,41831
388,22451,87482,70617,46928,43836
389,20439,92571,41370,22592,74414
390,96824,56980,3295,95269,59183
391,61868,82925,84771,52357,9076
392,60542,71664,58925,69713,7514
393,26412,31285,9819,3835,10563
394,4879,64389,26609,52373,21688
395,66743,33393,50908,99323,92541
396,5209,88488,18299,75698,63385
397,87929,57987,14514,28993,37291
398,63143,18537,3748,38064,61394
399,62938,45416,54042,99365,33893
400,68601,48074,24280,48073,32210
401,213,37302,98149,34278,45825
402,76512,49314,21992,39325,53122
403,43784,56218,54662,71843,41828
404,83372,99668,63594,87132,81651
405,90975,67847,41113,14450,61422
406,96313,46526,39679,33816,85697
407,15889,59734,69084,84345,36253
408,75891,37051,98941,84732,18585
409,77369,15617,52801,9004,54229
410,2804,55943,83946,21997,8274
411,76100,84606,30818,63320,65982
412,48395,8135,2031,39726,48427
413,16043,6464,7860,49124,59565
414,3753,19136,20981,27360,29068
415,29631,11086,10344,53574,12157
416,3081,16115,57704,41122,72169
417,90826,47396,11504,11592,89995
418,49581,94782,3865,91972,21830
419,4712,24303,40244,12699,94112
420,46234,13212,96825,26727,19496
421,12608,56705,46046,36540,24530
422,59125,24872,78532,38014,81545
423,27274,87307,27157,83528,48916
424,19503,17688,5196,83228,16416
425,66688,59438,49269,9690,98621
426,41831,62558,53277,22827,96510
427,62027,87066,25384,44514,76999
428,29809,68840,38179,8598,73291
429,20325,11931,23582,31436,98636
430,98319,96570,28141,1209,43847
431,74548,13867,37958,22631,92634
432,41691,90843,74008,1949,49441
433,33561,61415,94841,62122,8041
434,37536,21179,66350,49769,92018
435,2717,42229,23132,95348,1895
436,90222,16996,65498,15783,936
437,10961,92816,4807,92304,99663
438,89932,59412,84487,66144,44981
439,13593,43532,89512,88935,31529
440,988,31656,60340,2325,61369
441,94284,31735,76541,52985,29824
442,444,44296,1091,79120,62291
443,8101,87100,37890,1768,87222
444,442,1091,44296,79120,92949
445,87479,29107,22893,54516,96124
446,87752,19889,48239,45069,18231
447,27326,47591,54518,86777,1708
448,68424,22870,92851,187,73050
449,92353,39680,8341,10967,32259
450,91764,33649,65384,27277,11418
451,47122,18907,61009,90810,47812
452,41766,79386,43566,74708,71315
453,2769,89662,10667,39373,8105
454,84382,92534,24992,55741,66455
455,53529,96554,24875,4685,59104
456,7881,31670,11001,70051,60612
457,98570,8063,97334,79793,12471
458,58875,38403,68786,98961,77649
459,62938,63952,81753,32675,50549
460,53605,942,92206,46726,3052
461,66576,48625,21944,31913,70870
462,72207,28156,25623,33133,48490
463,9680,23459,79980,11041,73103
464,54803,82091,18621,40644,48811
465,47790,28330,84294,14152,37397
466,61740,59227,26414,35573,65390
467,84673,61961,96871,71920,26268
67487,468,87622,64215,24244,81742
469,70843,88063,32832,50022,39401
470,46892,9812,19976,81227,90052
471,37717,34940,91220,73993,70025
472,45936,75602,53813,0,66663
473,39284,38094,90841,43337,24956
474,68681,41283,35825,45583,57564
475,3567,34594,3463,26586,51156
476,97699,14243,91292,49434,20088
477,38267,10813,63720,86037,15492
478,72019,10287,65006,84785,57833
479,70580,58757,18035,43696,64776
480,75266,39386,76100,9129,69798
481,58591,25274,50744,71970,75599
482,1040,41370,68705,41379,40721
483,53614,98158,62157,56434,77566
484,82049,80507,19488,95985,12064
485,13769,96658,31435,40165,59294
486,57834,57412,47875,89548,20526
487,16749,17852,55063,44501,88820
488,97037,74904,58561,5959,96229
489,38693,10529,44989,80831,2400
490,55294,81601,86366,89301,61758
491,94782,55458,4334,33416,54815
492,94939,88451,34874,61646,7133
493,15171,73613,16311,21183,53306
494,57472,32614,36999,38097,36786
495,43756,45623,85578,14116,42522
496,27343,71310,89710,36586,91097
497,6755,20846,50305,76536,34637
498,5315,23020,59984,63580,30449
499,49965,13366,66028,10648,78639
500,67970,47480,45679,69908,30986
501,85554,36962,12903,32074,3062
502,81,86746,9405,82434,80388
503,8029,46058,55801,22270,27234
504,72067,47013,96118,63535,80584
505,86803,63704,72931,48487,85368
506,51548,11149,29970,62200,93019
507,1052,59753,18413,29632,81113
508,21976,96792,14237,73070,47826
509,67194,18011,60959,90211,79832
510,90093,52140,16882,72169,85985
511,96180,27948,41806,71760,72889
512,57873,72169,99370,37705,31756
513,34168,93930,36364,57886,9216
514,54840,70895,90692,45316,22843
515,39723,85621,66076,4548,29566
516,73509,94782,29583,46545,19619
517,36711,82928,25999,33178,42329
518,74798,33259,33963,26804,82538
519,75052,60139,92353,79747,88629
520,35821,5263,47875,73325,4100
521,49373,53743,86265,77407,87247
522,10937,12070,27508,82417,25551
523,93145,13947,97314,59123,6740
524,44699,26983,79814,55995,91154
525,96213,91148,24148,17120,80924
526,37117,87393,85306,60972,90187
527,63535,17357,81778,75266,93861
528,59198,83838,96252,39105,75738
529,85047,93567,98314,89724,73480
530,19103,11850,96861,33540,8411
531,19983,42181,18808,50411,10006
532,6560,706,93942,14129,1349
533,72169,88101,70187,81894,13449
534,29484,56413,1858,89481,79774
535,79356,1209,15668,15407,15061
536,59559,68781,73100,18990,94626
537,93044,9254,89605,51873,98143
538,24079,78440,15035,39864,77550
539,21093,46878,22842,53890,32104
540,65984,5317,9993,57853,8399
541,78510,67082,42383,46519,51362
542,24882,85615,3026,67648,77556
543,64175,34860,36619,13390,57150
544,80971,61019,39325,46083,51289
545,85565,35250,71124,89964,21816
546,62994,97405,73309,64275,53346
547,3289,3398,14312,12471,52426
548,23169,65137,73218,69521,87059
549,33787,46174,18526,87224,59418
550,39028,14915,59790,5630,4873
551,627,51180,3439,46028,28176
552,84135,57440,34754,35199,48362
553,46636,55735,69114,56777,92994
554,89795,44284,64052,7131,3086
555,4326,32862,33836,15452,20442
556,66813,33123,49069,2046,34878
557,13088,61270,90383,90936,74350
558,58068,86957,34523,84241,18426
559,93810,15518,17059,1316,56842
560,11880,37246,65741,80425,53540
561,48227,37363,91739,20040,59761
562,53306,41489,12928,88164,87286
563,18477,27322,36043,75499,25198
564,12886,38184,89916,55761,5273
565,39260,81198,52289,84361,30163
566,58137,56942,19883,16907,81085
567,72485,26525,93921,19467,4033
568,1288,45899,59584,60200,43423
569,21332,93157,50626,5009,80061
570,30543,93861,35212,31093,57509
571,63644,39162,27510,41766,87954
572,48342,70815,30782,42306,55302
573,9715,55670,56477,10838,83457
574,19322,22793,22673,95404,51504
575,30846,49887,29434,33169,50827
576,39230,45347,21257,89297,41691
577,79422,22618,63541,18696,92086
578,81046,58453,75343,46404,31944
579,54142,73031,16424,56339,69560
580,35471,94878,14970,84327,14735
581,97,52591,12236,6606,5446
582,79120,56670,20657,58162,99374
583,47604,74173,16714,87894,90158
584,68606,92304,52475,58049,17372
585,45982,97282,98408,72042,15893
586,87336,90369,11869,15911,87218
587,25134,35750,30319,98501,29897
588,12630,59184,81121,50282,57693
589,38773,37128,83878,61065,82929
590,43135,29872,74833,55988,97871
591,8874,82196,21676,89601,39954
592,3550,67163,47091,17764,34753
593,41370,86048,1209,45323,26796
594,80389,50966,65496,3506,45754
595,84885,79755,33453,31280,37551
596,39826,96797,9204,82114,30618
597,93663,60164,52083,92886,62508
598,87336,11869,15911,87218,62485
599,12122,11701,51768,92915,82906
600,48164,66136,36465,41920,37384
601,29169,51976,66380,54688,59063
602,23283,15081,30219,41072,99513
603,41978,31811,15342,36539,28073
604,85032,71967,92222,46774,79270
605,22736,33139,44155,9524,61967
606,81382,35520,71678,60168,72732
607,86278,38204,98915,45258,36931
608,7680,69650,27172,90788,99364
609,27660,77168,58266,10642,14317
610,55070,35665,27694,23353,59770
611,25211,10494,47901,94115,8163
612,61704,62455,16606,92856,94096
613,80124,16501,94776,58250,13916
614,87410,46636,47863,8940,15781
615,14033,30050,41826,76491,55158
616,56130,97366,96376,26799,58808
617,75266,89372,59399,28724,12266
618,76036,19845,40990,54343,75010
619,6952,33986,74448,16208,85275
620,18759,3493,97087,17179,75382
621,95018,2773,81999,20652,29034
622,78682,45755,21785,83068,29756
623,25923,18774,42377,50733,74345
624,17317,58520,61603,24438,12122
625,92599,22665,5908,52643,76790
626,80389,65008,8987,22460,56305
627,551,84986,64756,54556,98314
628,35966,82240,37092,9380,52029
629,4653,89932,80075,35442,66322
630,59634,1209,43847,72925,84771
631,40166,82439,47294,87381,25182
632,66186,33848,56869,82279,9337
633,4262,52808,18472,16287,71496
634,33537,24443,31371,48531,99295
635,32705,1248,73757,94712,27093
636,33263,83599,99152,23545,2045
637,23456,88712,71924,42246,34845
638,480,50454,1296,30545,56400
639,1253,33641,20308,95599,70676
640,50577,80904,35950,44818,11146
641,29316,60340,93509,51976,66380
642,73250,85432,48516,89939,99
643,71847,54074,42436,4489,22960
644,65028,80892,25627,84771,71363
645,81141,65982,60887,69649,51711
646,41781,91499,57259,48126,8499
647,11853,54039,20696,4573,66901
648,10049,78572,80305,26839,96632
649,66813,49069,2046,89530,34878
650,71924,59537,9711,48618,64405
651,40974,2924,73042,53124,71319
652,45587,53264,61358,56928,58250
653,35987,65932,99686,33828,52348
654,93080,63093,58429,21861,36858
655,19327,7157,41906,54394,46885
656,6063,14615,43500,19937,84435
657,18449,74051,57440,74533,13953
658,21385,41650,80684,50075,21571
659,26110,12788,86789,3386,7473
660,39103,59275,9947,49413,33061
661,71468,12914,8813,78442,91764
662,85529,47882,8733,73012,68023
663,2648,77166,89025,90961,82068
664,10176,17565,56130,74681,18897
665,81889,12114,95602,72705,43511
666,11182,67543,42541,35212,8892
667,25153,12336,14089,3293,20804
668,85504,19745,60647,21147,43450
669,98344,24635,35235,72687,19248
670,34405,18233,28518,86010,80730
671,46552,67570,1209,57685,34770
672,33217,6866,48100,21345,72156
673,84986,7835,79853,59473,23528
674,68287,58209,83353,90768,24708
675,55054,84114,63923,36475,36054
676,24858,4930,2511,41321,50806
677,37902,1209,85095,43847,84771
678,1209,2449,43847,84771,15230
679,32820,45755,79657,18901,1163
680,15362,40763,86368,11850,53523
80328,4562,681,46693,10141,1921
682,24425,50655,62716,81344,71543
683,97812,60788,10217,54852,98085
684,92765,27466,49899,76103,89600
685,58143,40459,29125,65936,89645
686,71806,34874,95650,2479,89718
687,50370,40925,57050,79749,67992
688,1779,89056,91508,81127,67390
689,69688,64228,55903,39273,2125
690,7765,15041,55438,85098,41978
691,34458,90572,24817,7373,4247
692,21624,33794,48009,42162,17745
693,50577,45359,37926,640,35795
694,73420,80389,13320,56767,89734
695,91168,40487,30543,27039,13543
696,96586,67393,45884,47949,28779
697,32061,34191,65113,71395,28981
698,65316,98363,92070,95115,54136
699,20371,68313,77142,44675,27152
700,58037,1378,33093,70785,91612
701,68870,49295,95934,12869,80808
702,57341,42522,59469,12788,14307
703,49916,86056,35962,17218,58208
704,25915,28070,84974,48036,22512
705,56692,14193,71897,52326,1296
706,77771,532,54858,6062,77884
707,79166,34874,86005,82564,2715
708,18771,12876,8527,58699,57142
709,26239,5055,18585,35702,386
710,91016,62632,40090,40121,89261
711,9594,78053,79935,65905,99267
712,1930,25211,96400,63445,65215
713,33477,51185,56808,97860,49405
714,60340,12334,15417,71792,76583
715,9920,67446,71995,6926,82010
716,66350,8026,95018,53074,24740
717,37516,1098,81123,87986,41412
718,44804,81095,14359,39648,7029
719,39598,48853,8200,77112,5435
720,70943,99847,42811,79921,79922
721,88782,67324,97335,92771,95269
722,26299,29107,73950,95261,87963
723,30973,2294,60283,26525,62632
724,61200,8732,99826,31516,1464
725,20021,85148,90296,21199,26411
726,59956,10763,13429,58773,7419
727,89718,39390,12992,22518,22018
728,46989,28961,59370,38146,38834
729,47922,338,82021,88376,47664
730,1209,14082,50701,28177,43847
731,86221,14784,23532,93403,4568
732,44636,16701,89142,57022,82469
733,16925,48606,86265,70132,21076
734,78345,5189,16725,1026,17353
735,3539,62026,95800,48079,31299
736,72607,162,66434,23233,48482
737,39662,33824,86373,78114,796
738,73420,13320,56767,87032,68752
739,95241,57013,38935,17059,11327
740,85974,92842,70704,90423,21703
741,34874,67820,9308,54379,26796
742,92356,57475,74041,50794,50864
743,58211,69361,25498,21126,48139
744,35438,41370,20964,63621,97375
745,46989,28961,38125,12439,89585
746,73720,44980,67890,99878,43590
747,1626,84493,99693,73550,20354
748,63192,49652,94999,5429,45744
749,8250,23331,85142,22869,43108
750,33781,77297,17171,22309,73176
751,33187,53090,19210,45323,98364
752,49052,55381,14331,4033,6420
753,94875,71325,79336,40874,54927
754,3994,95673,7972,81415,74375
755,63545,756,12430,18845,54505
756,755,34914,89139,19649,8725
757,72104,46928,76914,99305,56453
758,24632,6597,74487,82631,79810
759,49967,2644,14123,46678,85405
760,89040,4686,36057,33539,35709
761,14183,72451,46527,12585,80515
762,91823,218,90521,77702,28028
763,44302,12451,66813,46027,49069
764,15798,67419,70594,13988,64248
765,80089,70028,28961,46989,22339
766,47531,8780,4404,89645,10658
767,22765,20784,47458,53627,65093
768,25008,54009,53280,13995,94540
769,57299,65169,24972,81510,49511
770,62846,24964,12762,55902,83527
771,21863,45284,30245,19518,71188
772,77119,80695,41747,11514,79774
773,48817,80904,54505,86658,25666
774,30818,58376,75,38177,90401
775,33858,59419,85982,64513,34283
776,65368,39729,3616,57334,21566
777,18427,40695,49639,29798,91505
778,8454,3595,97587,23634,44112
779,99152,4441,67720,117,60996
780,40040,28858,28610,24625,73816
781,45350,87292,81503,32338,58864
782,96632,11762,60862,48317,60124
783,59187,23831,54829,3266,87544
784,80248,4723,22041,38282,49635
785,53349,74647,33831,52907,69997
786,22025,38551,6970,22511,25102
787,26186,57360,56158,40611,21653
788,18980,78420,49004,45818,1054
789,315,27134,4409,25375,6537
790,1353,19299,39706,4253,12624
791,29526,25227,3249,41893,97950
792,12720,81581,48690,38594,47888
793,27466,20297,23675,54586,98025
794,91669,21531,58522,76482,13414
795,56980,2380,17897,22418,1708
796,71110,63578,27582,27269,25478
797,40466,94288,1449,84724,66645
798,63327,8493,23529,88782,55012
799,98557,98314,89724,96958,62410
800,91105,42628,51497,39585,40828
801,85786,748,19867,386,67522
802,88533,88534,79311,66812,47105
803,19683,91727,48317,16082,26440
804,28050,19096,89797,89359,86368
805,99258,32288,59783,44804,67649
806,45255,77530,87452,61523,54667
807,29485,12970,35789,3576,55167
808,35462,1353,32393,56027,28899
809,23164,9380,43522,90019,83964
810,32485,38021,51942,96717,7974
34181,38913,811,19766,52749,15474
812,37404,83390,93859,92968,11285
94173,813,92968,11285,18615,23856
814,63309,71814,19878,19879,88022
815,28116,28443,3071,7978,77899
816,60073,84937,34572,65399,63892
817,91211,69499,98404,96021,52893
818,53019,29047,99858,78335,60123
819,46796,85702,76121,28024,11312
820,91661,66263,5432,76149,89052
821,45724,64348,35774,47550,4393
822,50472,59617,24612,23705,9405
15039,823,12502,91979,86252,110
824,22212,53840,80148,79230,95827
825,99322,41861,71477,81497,14678
